,name,url,id,popularity,followers,genres
1559,Asian Doll,https://open.spotify.com/artist/4guK7U9J36z76E1tWecJ0J,4guK7U9J36z76E1tWecJ0J,53,536735,"['dfw rap', 'escape room', 'pop r&b', 'trap queen', 'viral rap']"
1560,chloe moriondo,https://open.spotify.com/artist/3P4vW5tzQvmuoNaFQqzy9q,3P4vW5tzQvmuoNaFQqzy9q,66,538158,"['alt z', 'bedroom pop', 'indie pop']"
1561,Kunto Aji,https://open.spotify.com/artist/7dfFM5cBUOBmOH08sGNDcy,7dfFM5cBUOBmOH08sGNDcy,59,545930,"['indonesian indie', 'indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']"
1562,Tessa Violet,https://open.spotify.com/artist/5DD5GZd4ElmQTy9NleMvKJ,5DD5GZd4ElmQTy9NleMvKJ,61,554814,"['alt z', 'indie pop', 'social media pop']"
1563,Nivea,https://open.spotify.com/artist/15Dh5PvHQj909E0RgAe0aN,15Dh5PvHQj909E0RgAe0aN,52,556767,"['atl hip hop', 'hip pop', 'pop r&b', 'r&b', 'urban contemporary']"
1564,BADBADNOTGOOD,https://open.spotify.com/artist/65dGLGjkw3UbddUg2GKQoZ,65dGLGjkw3UbddUg2GKQoZ,68,562677,"['alternative hip hop', 'canadian modern jazz', 'escape room', 'hip hop', 'indie soul']"
1565,702,https://open.spotify.com/artist/2S8UlyXW4JjjHcbeg8ddIo,2S8UlyXW4JjjHcbeg8ddIo,55,563880,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
1566,Clinton Kane,https://open.spotify.com/artist/7okSU80WTrn4LXlyXYbX3P,7okSU80WTrn4LXlyXYbX3P,78,567764,"['alt z', 'gen z singer-songwriter', 'pop']"
1567,VIC MENSA,https://open.spotify.com/artist/27w1NoOLMX7tJMYqcetPyG,27w1NoOLMX7tJMYqcetPyG,66,568297,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
1568,Smino,https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD,1ybINI1qPiFbwDXamRtwxD,72,570981,"['alternative r&b', 'hip hop', 'rap', 'underground hip hop']"
1569,Dominic Fike,https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs,6USv9qhCn6zfxlBQIYJ9qs,75,574329,"['alternative pop rock', 'pop']"
1570,Current Joys,https://open.spotify.com/artist/0m5FakHKCQdA7UN0PIzMcL,0m5FakHKCQdA7UN0PIzMcL,72,576961,"['indie pop', 'lo-fi indie']"
1571,Noname,https://open.spotify.com/artist/1EpyA68dKpjf7jXmQL88Hy,1EpyA68dKpjf7jXmQL88Hy,61,583560,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'neo soul', 'underground hip hop']"
1572,RAN,https://open.spotify.com/artist/5DSVjHy2YWufmRUHBM3PLX,5DSVjHy2YWufmRUHBM3PLX,58,584413,"['indonesian indie', 'indonesian pop']"
1573,Mila J,https://open.spotify.com/artist/6cN9XwPMj9bWzJ32GC6V7v,6cN9XwPMj9bWzJ32GC6V7v,56,587573,"['alternative r&b', 'hip pop', 'pop r&b', 'r&b', 'trap queen', 'urban contemporary']"
1574,Yura Yunita,https://open.spotify.com/artist/02Tq76MwpeoRu3BHIAiaio,02Tq76MwpeoRu3BHIAiaio,66,593461,"['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']"
1575,Rina Sawayama,https://open.spotify.com/artist/2KEqzdPS7M5YwGmiuPTdr5,2KEqzdPS7M5YwGmiuPTdr5,65,597057,"['art pop', 'dance pop', 'electropop', 'escape room', 'indie poptimism', 'pop']"
1576,UMI,https://open.spotify.com/artist/4ClziihVpBeFXNyDH83Lde,4ClziihVpBeFXNyDH83Lde,67,599299,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']"
1577,SiR,https://open.spotify.com/artist/3QTDHixorJelOLxoxcjqGx,3QTDHixorJelOLxoxcjqGx,68,599443,"['alternative r&b', 'hip hop', 'indie soul', 'la pop', 'r&b', 'rap']"
1578,The Marías,https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx,2sSGPbdZJkaSE2AbcGOACx,70,615572,"['bedroom pop', 'indie pop', 'la indie']"
1579,Efek Rumah Kaca,https://open.spotify.com/artist/3uSvD31crYEsBLuiAFD02b,3uSvD31crYEsBLuiAFD02b,53,615801,"['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock', 'indonesian pop']"
1580,Dreezy,https://open.spotify.com/artist/7gWumE1wMALHXANLSIt054,7gWumE1wMALHXANLSIt054,59,618609,"['chicago rap', 'drill', 'escape room', 'hip pop', 'pop r&b', 'r&b', 'trap queen']"
1581,Men I Trust,https://open.spotify.com/artist/3zmfs9cQwzJl575W1ZYXeT,3zmfs9cQwzJl575W1ZYXeT,70,618696,['indie pop']
1582,Kevin Abstract,https://open.spotify.com/artist/07EcmJpfAday8xGkslfanE,07EcmJpfAday8xGkslfanE,65,623244,"['afrofuturism', 'alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'rap']"
1583,EARTHGANG,https://open.spotify.com/artist/5MbNzCW3qokGyoo9giHA3V,5MbNzCW3qokGyoo9giHA3V,70,625967,"['atl hip hop', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
1584,Latto,https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ,3MdXrJWsbVzdn6fe5JYkSQ,70,630764,"['pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen']"
1585,Blood Orange,https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR,6LEeAFiJF8OuPx747e1wxR,66,632598,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie soul', 'metropopolis']"
1586,Nidji,https://open.spotify.com/artist/4sEWznAKWWNcicTuLxzb6d,4sEWznAKWWNcicTuLxzb6d,55,634486,"['indonesian indie', 'indonesian pop', 'indonesian pop rock']"
1587,Victoria Justice,https://open.spotify.com/artist/2OTfr6S2kuHRYStjt1IkY6,2OTfr6S2kuHRYStjt1IkY6,64,640302,"['post-teen pop', 'social media pop']"
1588,Majid Jordan,https://open.spotify.com/artist/4HzKw8XcD0piJmDrrPRCYk,4HzKw8XcD0piJmDrrPRCYk,72,643690,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']"
1589,Dayglow,https://open.spotify.com/artist/6eJa3zG1QZLRB3xgRuyxbm,6eJa3zG1QZLRB3xgRuyxbm,72,646276,"['austindie', 'indie pop', 'modern rock']"
1590,Mahalia,https://open.spotify.com/artist/16rCzZOMQX7P8Kmn5YKexI,16rCzZOMQX7P8Kmn5YKexI,68,648004,"['alternative r&b', 'chill r&b', 'dance pop', 'indie anthem-folk', 'indie soul', 'pop', 'r&b', 'uk contemporary r&b']"
1591,Bruno Major,https://open.spotify.com/artist/0hDjKSKjl1DC7ovYTDJHe8,0hDjKSKjl1DC7ovYTDJHe8,70,653970,"['chill r&b', 'pop']"
1592,Ardhito Pramono,https://open.spotify.com/artist/3TkSKriI4EZmTxSFyzs0fd,3TkSKriI4EZmTxSFyzs0fd,65,654274,"['indonesian indie', 'indonesian jazz', 'indonesian pop', 'jazz pop']"
1593,Tink,https://open.spotify.com/artist/4v6XOdonnfpdTKTRJArG7v,4v6XOdonnfpdTKTRJArG7v,64,664447,"['chicago rap', 'drill', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen']"
1594,Kahitna,https://open.spotify.com/artist/2WhoMc7XqIzVXWbQqSoqe7,2WhoMc7XqIzVXWbQqSoqe7,58,667948,['indonesian pop']
1595,Stunna 4 Vegas,https://open.spotify.com/artist/44IvvHRk2XF243QLA2VOa8,44IvvHRk2XF243QLA2VOa8,66,674761,"['trap', 'viral rap']"
1596,Hale,https://open.spotify.com/artist/6Ww3OMFzCaO33ulKh1LBFN,6Ww3OMFzCaO33ulKh1LBFN,62,675748,"['opm', 'pinoy reggae', 'pinoy rock']"
1597,Snoh Aalegra,https://open.spotify.com/artist/1A9o3Ljt67pFZ89YtPPL5X,1A9o3Ljt67pFZ89YtPPL5X,72,684981,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'pop', 'r&b', 'scandinavian r&b', 'swedish soul']"
1598,Melanie Fiona,https://open.spotify.com/artist/4O2YL4ygn6eTBC0w1hyWUM,4O2YL4ygn6eTBC0w1hyWUM,52,691131,"['canadian pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']"
1599,KZ Tandingan,https://open.spotify.com/artist/1mcqfNCReSFxun2vIWvC28,1mcqfNCReSFxun2vIWvC28,61,693998,['opm']
1600,Amerie,https://open.spotify.com/artist/08rMCq2ek1YjdDBsCPVH2s,08rMCq2ek1YjdDBsCPVH2s,57,707468,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
1601,Shy Glizzy,https://open.spotify.com/artist/1DvtabXAjfrMihPP6JQdHs,1DvtabXAjfrMihPP6JQdHs,68,708071,"['dmv rap', 'drill', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
1602,JID,https://open.spotify.com/artist/6U3ybJ9UHNKEdsH7ktGBZ7,6U3ybJ9UHNKEdsH7ktGBZ7,78,726392,"['hip hop', 'rap', 'underground hip hop']"
1603,Bobby V.,https://open.spotify.com/artist/4HgF4KnohByNElYid7iCNb,4HgF4KnohByNElYid7iCNb,62,732036,"['hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
1604,Still Woozy,https://open.spotify.com/artist/4iMO20EPodreIaEl8qW66y,4iMO20EPodreIaEl8qW66y,74,736640,"['bedroom pop', 'modern rock', 'oakland indie']"
1605,Ingrid Michaelson,https://open.spotify.com/artist/2vm8GdHyrJh2O2MfbQFYG0,2vm8GdHyrJh2O2MfbQFYG0,65,749401,"['acoustic pop', 'ectofolk', 'indiecoustica', 'lilith', 'neo mellow', 'pop rock', 'stomp and holler']"
1606,Declan McKenna,https://open.spotify.com/artist/2D4FOOOtWycb3Aw9nY5n3c,2D4FOOOtWycb3Aw9nY5n3c,67,756974,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']"
1607,GoldLink,https://open.spotify.com/artist/5XenQ7XfcvQdfIbpLEFaKQ,5XenQ7XfcvQdfIbpLEFaKQ,70,757737,"['alternative r&b', 'dmv rap', 'hip hop', 'indie soul', 'r&b', 'rap', 'underground hip hop']"
1608,Kelly Price,https://open.spotify.com/artist/49FeZO3eSrJs7oH7lYLU1r,49FeZO3eSrJs7oH7lYLU1r,53,765962,"['hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']"
1609,I DONT KNOW HOW BUT THEY FOUND ME,https://open.spotify.com/artist/0Raaw7kr1Vzat4ZvHzjsJR,0Raaw7kr1Vzat4ZvHzjsJR,67,775003,"['alt z', 'indie pop', 'modern alternative rock', 'modern rock', 'rock']"
1610,Azealia Banks,https://open.spotify.com/artist/7gRhy3MIPHQo5CXYfWaw9I,7gRhy3MIPHQo5CXYfWaw9I,67,787223,"['dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'trap queen']"
1611,Trina,https://open.spotify.com/artist/4PrinKSrmILmo0kERG0Ogn,4PrinKSrmILmo0kERG0Ogn,60,793407,"['hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'rap latina', 'southern hip hop', 'trap', 'trap queen']"
1612,Roy Woods,https://open.spotify.com/artist/7mDU6nMUJnOSY2Hkjz5oqM,7mDU6nMUJnOSY2Hkjz5oqM,68,810072,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul']"
1613,Steve Lacy,https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp,57vWImR43h4CaDao012Ofp,79,811019,['afrofuturism']
1614,Rico Nasty,https://open.spotify.com/artist/2OaHYHb2XcFPvqL3VsyPzU,2OaHYHb2XcFPvqL3VsyPzU,71,815579,"['dance pop', 'dmv rap', 'escape room', 'pop', 'trap queen']"
