,name,url,id,popularity,followers,genres
0,Cloud Guy,https://open.spotify.com/artist/1JM04aXQw4BDmYLFNbCiXE,1JM04aXQw4BDmYLFNbCiXE,26,283,[]
1,Narysal,https://open.spotify.com/artist/26iQVSr3VdWWAzy7fiN908,26iQVSr3VdWWAzy7fiN908,28,618,['chill r&b']
2,runo plum,https://open.spotify.com/artist/0pouttXEXIHvguV90fhB39,0pouttXEXIHvguV90fhB39,28,1160,[]
3,jaesun,https://open.spotify.com/artist/22N3Z4kBeTk1ikXxHL4Pp5,22N3Z4kBeTk1ikXxHL4Pp5,30,1264,['chill r&b']
4,Farrah,https://open.spotify.com/artist/4RvgBTjECTDRsrvIL5Liip,4RvgBTjECTDRsrvIL5Liip,26,1349,['chill r&b']
5,Glenn Lumanta,https://open.spotify.com/artist/1ZrIkUK72f4v7tYetjxxme,1ZrIkUK72f4v7tYetjxxme,34,1640,[]
6,Kitty Purrnaz,https://open.spotify.com/artist/5CRMilXf5gELXf6m2Ml3dx,5CRMilXf5gELXf6m2Ml3dx,33,1681,['chill r&b']
7,Zuma.,https://open.spotify.com/artist/5njJbzFJ6lY7tq7ZiuFZX5,5njJbzFJ6lY7tq7ZiuFZX5,25,1699,[]
8,Ojivolta,https://open.spotify.com/artist/6FBUHxCdl6ePwkYY6JMclM,6FBUHxCdl6ePwkYY6JMclM,27,1753,[]
9,We The Mongrels,https://open.spotify.com/artist/3tMCCHWJzmRKZvSR157i7e,3tMCCHWJzmRKZvSR157i7e,31,1976,['chill r&b']
10,Cathy Ang,https://open.spotify.com/artist/3qLXQKIfWi7roh2tmVRjzn,3qLXQKIfWi7roh2tmVRjzn,42,2029,[]
11,Emi Choi,https://open.spotify.com/artist/7CBR3nH5wFYRbmNAuxZdcU,7CBR3nH5wFYRbmNAuxZdcU,36,2166,['chill r&b']
12,Ynairaly Simo,https://open.spotify.com/artist/6aad6OBNeoM24jAZus4LkV,6aad6OBNeoM24jAZus4LkV,59,2227,[]
13,Biagi,https://open.spotify.com/artist/3vPZeaCrAz1R9wPQfbjLtM,3vPZeaCrAz1R9wPQfbjLtM,35,2522,['indonesian lo-fi pop']
14,Harriette,https://open.spotify.com/artist/4pvvhffb5CTrWsrTCf3tMa,4pvvhffb5CTrWsrTCf3tMa,43,2922,['indie pop']
15,Ahnnu,https://open.spotify.com/artist/6wftqTAUFLgINZAsEng8D4,6wftqTAUFLgINZAsEng8D4,11,3193,['abstract beats']
16,Äyanna,https://open.spotify.com/artist/61SZdJffkiHvhHX2nnkymD,61SZdJffkiHvhHX2nnkymD,33,3275,['chill r&b']
17,Ebhoni,https://open.spotify.com/artist/7bWXoXVgDSWw6lWZD4fCb6,7bWXoXVgDSWw6lWZD4fCb6,28,3778,['canadian contemporary r&b']
18,YAØ,https://open.spotify.com/artist/65ZzuNL3HmtwhF9akIKXuJ,65ZzuNL3HmtwhF9akIKXuJ,41,3838,"['chill r&b', 'singaporean pop']"
19,Ariza,https://open.spotify.com/artist/4hfAjEKTAFTmJvGQCGTED5,4hfAjEKTAFTmJvGQCGTED5,47,4554,['la pop']
20,Paolo Sandejas,https://open.spotify.com/artist/7aerdWadzubpu06Oxysg6R,7aerdWadzubpu06Oxysg6R,40,5446,"['opm', 'pinoy indie']"
