,name,url,id,popularity,followers,genres
182,((( O ))),https://open.spotify.com/artist/5rBFU1rhgs1nNghopuj9k8,5rBFU1rhgs1nNghopuj9k8,63,71095,"['experimental hip hop', 'indie r&b', 'indie soul']"
183,Joe Hertz,https://open.spotify.com/artist/76QHVIjgqlkWB9LNGliman,76QHVIjgqlkWB9LNGliman,54,71549,"['alternative r&b', 'indie r&b', 'indie soul', 'new french touch', 'uk contemporary r&b']"
184,Chinese Kitty,https://open.spotify.com/artist/6x3iaJYt5zLqKIfkrPQme9,6x3iaJYt5zLqKIfkrPQme9,47,71635,"['pop r&b', 'trap queen']"
185,TeaMarrr,https://open.spotify.com/artist/1cWyN6TA0n4j9JtqI0sOpt,1cWyN6TA0n4j9JtqI0sOpt,48,71712,"['alternative r&b', 'boston hip hop', 'chill r&b', 'escape room']"
186,Vory,https://open.spotify.com/artist/0GeeIVcvGA8GSlWsoY1dkG,0GeeIVcvGA8GSlWsoY1dkG,62,71832,"['kentucky hip hop', 'pop rap', 'trap soul']"
187,Phonte,https://open.spotify.com/artist/5SyCTZ8X8YQCI0J1VRp4iC,5SyCTZ8X8YQCI0J1VRp4iC,52,72118,"['alternative hip hop', 'hip hop', 'neo r&b', 'neo soul', 'north carolina hip hop']"
188,Always Never,https://open.spotify.com/artist/0iiDqBBNToKJG4YoyESrBf,0iiDqBBNToKJG4YoyESrBf,56,72578,"['canadian contemporary r&b', 'trap soul']"
189,Sylvan LaCue,https://open.spotify.com/artist/0JuDxOwz1e3Wx05t8e3AT3,0JuDxOwz1e3Wx05t8e3AT3,45,72620,"['indie hip hop', 'miami hip hop', 'underground hip hop']"
190,Nyck Caution,https://open.spotify.com/artist/1ZyUXvaBXUsIZ3JD6jYGkt,1ZyUXvaBXUsIZ3JD6jYGkt,56,73210,['underground hip hop']
191,Sir Michael Rocks,https://open.spotify.com/artist/2F3zBRfrDfm2FyNT0YKyAx,2F3zBRfrDfm2FyNT0YKyAx,54,73280,['underground hip hop']
192,Reo Cragun,https://open.spotify.com/artist/08v1r0jqDyvSo2LtSqHxcy,08v1r0jqDyvSo2LtSqHxcy,56,73545,"['canadian hip hop', 'trap soul', 'underground hip hop']"
193,Alextbh,https://open.spotify.com/artist/0kXDB5aeESWj5BD9TCLkMu,0kXDB5aeESWj5BD9TCLkMu,48,74212,['chill r&b']
194,Matt Martians,https://open.spotify.com/artist/7ycsWk9ae4pTAlWH8j6Hf9,7ycsWk9ae4pTAlWH8j6Hf9,43,75375,"['alternative r&b', 'indie r&b', 'indie soul']"
195,K. Forest,https://open.spotify.com/artist/1uaS3ZokV40ZrpzSRhx4Ol,1uaS3ZokV40ZrpzSRhx4Ol,40,75411,"['canadian contemporary r&b', 'canadian hip hop', 'pop r&b', 'trap soul']"
196,CJ Fly,https://open.spotify.com/artist/41yEdWozNYEzA2RfgYQHgr,41yEdWozNYEzA2RfgYQHgr,54,76072,['underground hip hop']
197,Rationale,https://open.spotify.com/artist/2IQDM5URYGYfSMmwhTCmyy,2IQDM5URYGYfSMmwhTCmyy,57,76157,['uk contemporary r&b']
198,Dave Barnes,https://open.spotify.com/artist/7hbH1qupmU6HxVBjWJItlq,7hbH1qupmU6HxVBjWJItlq,51,77376,"['acoustic pop', 'indiecoustica', 'neo mellow']"
199,James Vickery,https://open.spotify.com/artist/68tR0TsEKX89ID4fyBMgch,68tR0TsEKX89ID4fyBMgch,55,77523,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']"
200,NEIL FRANCES,https://open.spotify.com/artist/587PA35pRGL1JwQr6idJbb,587PA35pRGL1JwQr6idJbb,63,78479,['indie soul']
201,Kraak & Smaak,https://open.spotify.com/artist/7c5qu1gNlg8jWDzzmlp89O,7c5qu1gNlg8jWDzzmlp89O,56,80997,"['bboy', 'deep house', 'electronica', 'indie soul', 'new french touch', 'nu disco', 'nu jazz']"
202,Alex Isley,https://open.spotify.com/artist/7E2ioKxoxI2J94tUkIx6As,7E2ioKxoxI2J94tUkIx6As,61,81478,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'neo soul', 'pop r&b', 'r&b']"
